VehicleNumber,Lines,Brigade
7332,182,4
7333,411,04
7334,103,1
7335,202,545
743,150,6
744,150,5
748,110,3
750,850,2
753,750,4
754,750,2
755,150,08
756,850,03
757,750,06
762,110,06
763,150,010
769,150,09
7700,145,7
7701,521,012
7702,521,010
7703,202,544
7704,141,013
7705,525,4
7706,521,1
7707,502,464
7708,E-1,05
7709,182,4
7710,728,1
7711,105,4
7712,189,018
7713,189,7
7714,190,13
7715,719,3
7716,189,017
7718,517,011
7719,713,1
772,750,08
7720,706,03
7721,184,2
7722,401,025
7723,401,3
7724,191,09
7725,186,015
7726,112,10
7727,184,010
7728,184,1
7729,189,2
773,750,05
7730,182,2
7731,502,463
7732,402,011
7733,202,541
7734,525,2
7735,520,6
7736,158,8
7738,151,07
7739,521,07
7740,521,09
7741,162,011
7742,162,015
7744,125,07
7745,411,03
7746,125,2
7747,182,011
7748,E-2,01
775,250,3
7750,507,012
7751,102,780
7752,E-1,03
7753,525,3
7755,509,023
7757,182,7
7758,199,1
7759,141,4
776,750,1
777,150,3
778,250,2
779,150,4
7800,145,11
7801,145,016
7802,411,718
7803,145,9
7804,523,4
7805,199,06
7806,514,2
7807,525,5
7808,143,5
7809,520,09
7810,509,15
7811,125,3
7813,162,2
7814,402,4
7816,162,012
7817,188,08
7818,507,011
7819,523,020
782,750,07
7821,514,1
7822,151,05
7824,523,022
7825,125,4
7826,125,5
7827,146,06
7828,704,2
7829,507,2
7830,525,011
7831,402,010
7833,102,548
7835,507,1
7836,502,468
7837,521,6
7840,523,16
7842,521,4
7843,514,3
7844,E-1,02
7845,402,7
7846,509,024
7847,143,7
7848,411,01
7849,148,010
7850,141,011
7852,151,06
7853,145,1
7854,523,021
7855,145,3
7857,143,3
7858,525,7
7859,509,10
7860,143,8
7861,182,010
7863,145,5
7864,188,012
7865,188,4
7866,520,010
7867,507,010
7868,507,7
7869,523,6
7871,523,018
7872,517,016
7874,182,3
7876,502,467
7877,523,019
7878,502,720
7879,525,09
7880,E-2,03
7881,523,4
7882,514,4
7883,141,7
7884,521,6
7885,507,6
7886,502,466
7887,151,04
7888,E-1,04
7889,525,010
7890,125,06
80101,L48,1
80102,L26,1
80104,L47,02
80106,L47,1
80108,L26,2
80109,L26,1
80111,L38,1
80112,L37,1
80114,L43,681
80115,L45,1
80116,L40,2
80117,L-3,1
80118,L35,1
80120,L45,02
80122,L46,682
80124,L32,1
8301,143,4
8303,172,1
8304,187,3
8305,148,7
8306,138,7
8307,317,5
8309,138,2
8310,E-2,06
8311,187,8
8312,136,10
8313,136,8
8314,709,429
8315,401,012
8316,148,2
8317,148,1
8318,172,8
8319,127,5
8320,504,7
8321,136,12
8322,319,08
8323,402,8
8324,401,09
8325,127,2
8326,127,6
8327,217,5
8328,319,01
8329,141,5
8330,143,011
8331,504,4
8332,504,6
8333,162,014
8334,724,667
8335,165,4
8336,522,08
8337,501,4
8338,174,6
8339,217,3
8340,402,5
8341,E-2,08
8342,187,11
8343,217,06
8344,739,010
8345,727,3
8346,504,2
8348,143,09
8349,401,011
8350,709,8
8351,504,1
8352,727,04
8353,162,08
8355,727,422
8356,522,6
8357,519,4
8359,174,5
8360,166,661
8362,165,2
8363,174,07
8365,148,8
8367,501,2
8368,710,5
8369,174,3
8396,E-2,05
8397,188,07
8398,520,011
8399,502,451
8441,527,012
8442,705,63
8443,414,09
8444,735,66
8445,527,715
8446,140,07
8447,112,3
8448,527,013
8449,738,4
8450,190,015
8452,511,3
8453,500,3
8454,517,012
8455,517,018
8457,723,470
8458,145,6
8459,500,5
8460,140,3
8461,517,018
8462,509,019
8465,190,7
8500,709,011
8501,136,013
8502,501,6
8503,709,1
8504,162,5
8505,517,9
8506,138,9
8507,742,1
8508,522,4
8509,710,6
8510,519,3
8511,174,371
8512,710,668
8513,141,2
8514,522,09
8517,308,01
8518,136,016
8519,710,2
8520,742,761
8521,308,02
8522,187,2
8523,710,1
8524,724,02
8525,162,7
8526,168,3
8528,402,012
8531,519,2
8535,709,2
8536,710,5
8537,501,5
8538,727,2
8539,709,4
8540,106,2
8541,724,01
8542,522,5
8544,709,5
8545,174,09
8547,217,1
8548,522,010
8550,710,3
8551,141,10
8552,141,012
8554,501,1
8556,217,2
8557,709,9
8558,402,1
8559,710,09
8560,709,6
8562,411,02
8563,168,2
8564,523,3
8565,509,6
8566,509,7
8568,180,433
8570,507,5
8571,182,9
8572,141,1
8573,411,462
8574,520,7
8575,509,9
8577,402,2
8578,402,6
8579,141,6
8580,E-2,04
8582,132,06
8583,120,3
8584,190,016
8586,120,5
8587,120,09
8588,527,011
8589,120,1
8590,128,406
8591,E-2,09
8592,509,020
8593,509,018
8595,245,3
8800,317,5
8801,141,9
8802,504,5
8804,504,9
8805,162,013
8807,136,017
8808,317,1
8809,709,3
8810,136,12
8812,504,010
8813,138,1
8815,138,5
8816,148,9
8817,138,011
8818,136,6
8819,172,3
8820,723,475
8821,500,1
8822,138,8
8823,317,4
8824,136,1
8825,222,4
8826,148,4
8827,720,1
8828,720,2
8829,143,2
8830,704,1
8832,188,010
8833,520,1
8835,151,06
8836,502,09
8837,502,1
8839,151,2
8841,188,3
8842,188,011
8843,148,6
8844,523,12
8845,143,6
8846,520,3
8848,151,3
8850,141,3
8851,523,15
8852,502,465
8853,520,8
8854,520,4
8855,523,1
8856,500,7
8857,162,6
8858,738,2
8859,738,3
8860,340,06
8861,Z26,04
8862,340,02
8863,138,3
8864,731,499
8865,340,01
8867,340,063
8868,340,05
8869,199,05
8870,140,064
8871,240,3
8872,140,2
8873,140,1
8874,520,2
8875,500,6
8876,512,4
8877,512,3
8878,512,1
8879,140,05
8880,172,011
8881,172,9
8882,168,4
8883,141,8
8884,143,1
8885,143,010
8886,168,7
8889,193,06
8890,148,5
8891,E-2,07
8892,168,5
8893,148,3
8894,504,011
8895,138,012
8896,136,014
8897,148,9
8898,217,07
8899,136,3
9061,104,1
9062,262,1
9063,211,08
9065,161,2
9066,211,09
9067,211,011
9068,332,1
9069,211,012
9070,211,010
9073,211,461
9074,104,2
9075,314,1
9076,211,1
9077,211,2
9078,211,3
9079,262,2
9081,314,4
9082,314,454
9083,314,2
9086,262,03
9088,104,03
9090,161,03
9092,133,1
9094,161,1
9201,305,1
9202,201,05
9203,349,1
9204,239,572
9205,264,1
9206,201,4
9207,201,2
9208,211,460
9210,239,574
9211,201,3
9212,Z12,1
9214,203,1
9215,201,4
9219,203,472
9220,203,03
9226,201,1
9227,815,571
9228,809,573
9229,211,6
9230,164,3
9231,133,348
9232,211,5
9242,164,2
9245,239,775
9251,201,4
9252,164,1
9253,133,2
9301,739,4
9304,142,3
9305,142,4
9311,234,3
9312,179,7
9313,147,06
9314,196,03
9315,179,5
9316,142,469
9317,135,4
9318,135,5
9320,179,10
9321,135,07
9322,147,09
9324,135,08
9325,179,3
9326,198,04
9327,135,3
9329,142,1
9330,196,2
9331,739,426
9332,147,07
9334,179,6
9337,256,2
9338,179,11
9339,135,1
9340,198,3
9341,179,51
9342,179,012
9343,135,2
9344,234,2
9345,739,3
9346,234,1
9347,142,5
9348,179,9
9349,739,1
9350,198,1
9352,179,8
9353,256,1
9354,196,1
9355,739,6
9357,179,4
9359,198,2
9402,326,06
9403,176,2
9404,326,4
9405,516,4
9411,103,3
9412,152,5
9413,103,5
9414,103,6
9415,743,04
9416,152,3
9417,326,1
9418,152,2
9419,356,02
9420,516,1
9421,103,1
9422,103,08
9423,103,09
9424,157,10
9425,516,5
9426,103,010
9427,152,06
9428,157,9
9429,157,4
9430,516,2
9432,176,04
9433,152,1
9434,176,03
9435,103,7
9436,157,6
9437,516,3
9438,326,2
9439,326,3
9440,743,2
9441,157,8
9442,152,1
9443,356,03
9444,103,2
9445,743,3
9446,157,5
9447,356,01
9448,326,07
9449,157,011
9450,157,1
9451,157,3
9452,103,4
9453,176,1
9455,157,7
9456,157,430
9457,212,4
9458,326,5
9459,152,4
946,146,3
9501,311,05
9502,149,1
9503,149,662
9505,104,04
9506,149,663
9507,159,4
9508,159,1
9509,121,3
9510,311,04
9511,311,06
9512,715,54
9513,194,1
9514,220,5
9515,121,1
9516,715,53
9517,121,2
9518,121,04
9519,159,6
9520,159,2
9522,737,56
9523,715,55
9524,194,65
9525,220,07
9527,159,3
9529,159,8
9530,220,3
9531,712,02
9533,737,057
9534,737,09
9536,707,02
9537,194,2
9539,220,4
9540,715,52
9541,194,4
9542,220,2
9543,712,1
9545,194,63
9548,220,6
9549,194,07
9550,194,06
9551,220,09
9552,220,1
9553,707,1
9554,220,08
9555,715,61
9556,707,1
9557,159,7
9560,159,5
9561,737,058
9672,212,2
9675,110,71
9678,204,1
9685,212,5
9686,226,1
9687,110,72
9689,212,1
9693,204,2
9694,736,1
9697,226,2
9698,226,3
9699,212,3
9802,167,8
9803,185,1
9804,131,015
9805,185,6
9806,167,7
9807,131,4
9808,131,13
9809,131,016
9810,817,01
9811,131,12
9812,167,10
9813,185,013
9815,131,8
9816,167,013
9817,131,5
9818,167,014
9819,167,1
9820,167,5
9821,185,11
9822,185,432
9823,167,016
9824,185,4
9825,131,7
9826,131,1
9827,185,5
9828,185,2
9829,185,7
9831,167,601
9832,131,2
9833,167,9
9834,185,3
9835,185,9
9836,167,6
9837,185,015
9838,185,015
9839,167,3
9840,185,8
9841,131,10
9842,167,4
9843,167,015
9844,131,3
9845,185,12
9846,167,12
9847,817,02
9848,817,03
9849,131,11
9850,167,6
9851,167,2
9853,185,014
9854,131,6
9902,186,11
9903,210,4
9905,186,1
9906,112,011
9908,114,M23
9909,186,3
9910,186,2
9912,193,4
9913,112,014
9914,112,012
9915,186,6
9916,210,6
9917,114,21
9918,193,2
9920,114,7
9921,193,5
9922,114,8
9923,193,1
9925,114,2
9927,114,011
9928,719,08
9929,114,M22
9930,114,010
9932,511,05
9933,186,4
9934,186,10
9935,114,9
9936,210,2
9937,150,1
9938,186,9
9940,114,1
9941,186,494
9944,112,013
9945,186,8
9947,114,4
9949,114,5
9950,193,3
9951,114,6
9952,210,5
9953,210,1
9954,186,12
9955,112,015
